"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"272",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,"6"
"870",7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,"6"
"337",8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,"6"
"911",9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,"6"
"288",7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,"6"
"4601",9.51457754182629,0.539147740430199,0.457920692923944,2.27138764741831,0.0741619700454175,10.2674441232812,47,1.00058395292128,3.25503118713852,0.78689006773755,9.16414666501805,"3"
"6911",7.42994861048646,1.07462895119679,0.130885712818708,3.54884082975332,0.0687406375091523,5,14.0407200586051,0.996675620493386,3.48809577255044,0.544837175407447,10.8426063592546,"3"
"8331",10.0945526515599,0.730727831833065,0.110929268021137,1.36864524534903,0.113878667568788,34.0948365856893,48,0.995514495566729,3.32313379734755,0.648720378195867,9.84528388234321,"3"
"13001",7.69607649124227,0.764097132107708,0.040456375926733,1.74485014141537,0.0827611191412434,4.33209527260624,9,0.994711371825403,3.3801979832584,0.535132226529531,9.87029224452563,"3"
"13751",6.91779020573013,0.589994112129789,0.00883578245993704,1.51180934340227,0.167979908102425,15.8452183913905,28.8597387613263,0.99485121887174,3.34159268476302,0.617053937064484,9.93104648515582,"3"
"14701",7.06754931369796,0.585980936214328,0.049810035568662,1.54150459365919,0.0692726394813508,19.5687898397446,49,0.996192153411231,3.31029916412197,0.702574281999841,9.66093839150853,"3"
"14791",7.31861467137933,0.54908330361126,0.0797484779870138,2.9569495144533,0.0746408867109567,3.45742129860446,14.544427062152,0.997088160918776,3.35754450704437,0.536569550177082,10.2624704964925,"3"
"15061",7.09246955455747,0.658674394898117,0.0256880165729672,1.8,0.078,6.98896678211167,12,0.995879970754175,3.49484242081642,0.454056688863784,9.87376294945134,"3"
"391",7.39630164103583,0.757022329354659,0.136166932859924,1.59442995758727,0.117889988744631,7,19.88659225218,0.995127061606052,3.47392639020924,0.565752046771813,10.1218205732061,"4"
"424",8.16079706158489,0.507249613404274,0.255558164636604,2.56920084364247,0.0863671836659778,17.6186822659802,45.6498314598575,0.996938137636823,3.28587277959334,0.591557408911176,9.3,"4"
"801",8.09871662787627,0.6121912967565,0.298915390332695,1.98672976472881,0.0750463047781959,26.1783376210369,119.576377509627,0.997015360388439,3.20735986350337,0.887300621950999,9.11490053546149,"4"
"9510",5.23217128938995,0.874135563354939,0.067613431927748,2.03010581918061,0.0509318401096389,41.7374332360923,86.3275318834931,0.99489690823697,3.73673468734603,0.52377851417521,10.1361336848931,"4"
"1521",9.46923401672393,0.575377031848766,0.913785459767096,3.4,0.10770330892317,32,69.2425540750846,1.0000742988806,3.20117957067443,1.88854944218183,9.56445275172591,"4"
"1621",8.16790209934115,0.487980913103092,0.109054064555094,1.48325120890513,0.0672872665121686,8.78195578674786,20,0.99611494727954,3.32522472872399,0.670760816372931,10.4427548313979,"4"
"1681",7.48541430858895,0.57437411317369,0.0367301374976523,1.82741521410644,0.0760112087815069,17.0780900260434,41.0641647535376,0.996446610665612,3.37219733418897,0.572514629503712,9.34286865587346,"4"
"1711",7.87223216369748,0.73971523004584,0.152717049289495,1.78485237783752,0.0589445784243289,4,8.39798991917633,0.995139927417207,3.23732809069566,0.367299889172427,9.52865307561588,"4"
"2001",6.94859101362526,0.934882408496924,0.0503758091293275,2.08203350696713,0.0667858652092982,12.9037086155731,31,0.995257317969953,3.50358244061004,0.459977321897168,10.8878385150572,"4"
"2251",8.32563325660303,0.809465297685238,0.351041587106883,2.09452561673243,0.0911831419607624,14.5162824592553,54.7623227345757,0.997430080439285,3.31898374554235,0.547047802750021,10.1681969510159,"4"
"2671",7.8510293405503,0.856248695075046,0.0284309344552457,2.31087984724436,0.0899974563866854,26.7545700778719,60.4528388234321,0.996660199832567,3.29255522802472,0.61498279918218,9.8,"4"
"4101",9.54876677680295,0.473358094547875,0.410009101890027,4.17581216935068,0.0777518952009268,26,51.8082938785665,0.99816756880274,3.20312726744916,0.546622764896601,9.99761021069717,"4"
"5771",10.4295192080084,0.482974023052957,0.272260084894951,1.96376459109597,0.113796342381509,6,14,0.997825199427269,3.3167549313698,0.708800801397301,9.99620071137324,"4"
"6011",7.88977601944935,0.805041409134865,0.00635137566598132,2.03137227289844,0.0879700835878029,6.33663355652243,23,0.997893311491492,3.41303026996553,0.874301724634133,9.9885582776973,"4"
"6481",7.76643277144003,0.950037173053616,0.0758134534860341,3.3633330863473,0.0697029619146735,5,14.0254380227826,0.996682412573593,3.45194494595173,0.546067671629221,10.910474236296,"4"
"6601",7.19655077673961,0.726268820057157,0.0233384077833034,4.63082547273953,0.0933734486103058,4.26690287026577,12.6611686642282,0.996960051503964,3.41,0.442458784016781,10.9255553721916,"4"
"7041",8.2300539710559,0.572374232335715,0.46081196952844,2.67813621517271,0.0737314980076626,21.5316266959999,84,0.998226429049927,3.2663948729774,0.631283864558209,10.0419635136146,"4"
"7251",7.5,0.609385647620074,0.203017765982077,2.87711306689307,0.0702600667327642,5.6205026563257,12,0.995650665931124,3.52901247649919,0.655103562874719,11.3112640146865,"4"
"8141",7.04124881154858,0.351295447591692,0.242397716138512,2.27625550907105,0.0853814811604098,4,7.67883181432262,0.994995077371783,3.40147510902956,0.638862384953536,11.116267253086,"4"
"8311",7.5832055489067,1.13547740948154,0.0257374088978395,2.18156100055203,0.086592073848471,5,9,0.996265789424498,3.4661907742545,0.484031101025175,10.9,"4"
"8341",10.8600387836292,0.492938225240958,0.347601871242639,1.45038389486745,0.118489366857437,35.7991980911772,50.0290536205284,0.995557894615871,3.37893108890507,0.713494943927847,9.87059760701014,"4"
"8731",7.19422293575481,0.393352540116757,0.187565499278717,1.82058180337772,0.0671030502328649,27.391973430058,48.9308067080565,0.996040498604649,3.44768166940194,0.604075319259427,10.2765957069583,"4"
"8771",6.94179488283116,0.453337901583873,0.0901904532895424,2.38279130370356,0.074192784526851,6.7954907650128,14,0.995524640137074,3.48551691560075,0.68646765735466,10.9922443805728,"4"
"9281",8.30015398766846,0.682926964290673,0.167927595092915,2.18973010519985,0.0962207622721326,11.7402974041179,76.8408312648535,0.997034680150338,3.20028296084842,0.612809587814845,9.21466450449079,"4"
"9381",11.9836113633588,0.572696502538165,0.413595079211518,1.4,0.0731079777693376,6,26.4250130928122,0.997624293376212,3.07,0.635085449437611,10.1853871609239,"4"
"11251",5.8593927640235,0.550916734877974,0.0193103543482721,1.79612473030575,0.0785379865388386,3.75769780762494,13,0.994688811583363,3.65405230655335,0.598169118799269,11.4397148150485,"4"
"11771",7.66355098765343,0.606211166421417,0.213319028546102,3.37359302879777,0.07795314159384,21.7805933072232,46.0506073976867,0.995791986112036,3.51554894257104,0.677052920814604,11.9919258977985,"4"
"11901",8.14899701941758,0.785077728333417,0.0871134291402996,1.98810901283287,0.0739548737141304,5.08285228116438,18.3327276317868,0.996713661087602,3.29374972023535,0.534885408834089,9.40662364689633,"4"
"12341",10.1810549067799,0.287525288164616,0.571687836684287,2.22176296748221,0.166708135994151,12.5195885603316,36.8438037170563,0.996556512998813,3.22558473752346,0.518334869151004,9.30184404426254,"4"
"12361",7.89030420575291,0.472288853621576,0.151253115937579,12.7946402264759,0.0635947468467057,6.31278387876227,109.111539828125,0.995844394864412,3.16541444960749,0.584792258488014,10.5093804226955,"4"
"12401",6.62997406651266,0.620469550141133,0.0592784378677607,3.10854368612636,0.0582469263277017,11.5664981831796,20,0.994863988797446,3.43489805395948,0.566961971782148,11.8,"4"
"12621",6.96441044693347,0.953683595987968,0.204579494521022,1.82497203336097,0.0829838711081538,17,24,0.994299391140044,3.52631313458318,0.582974751887377,11.2936652400531,"4"
"12641",8.05035280301236,0.701169863012619,0.0391738446988165,2.02998842494562,0.0810496678559575,14.5465019126423,26.7662519533187,0.997669204181223,3.32626889234409,0.524357302431017,9.56004899155814,"4"
"12771",8.5,0.378844144456089,0.4,5.93081060275435,0.0500310965639073,3,9.34149173041806,0.996754348100945,3.37312131712213,0.6526500629168,11.6383050407283,"4"
"12941",7.48793195354602,0.666160311187721,0.0151181465948038,1.86346677334514,0.0782778620612808,6.90006962031989,12,0.996062740928732,3.35551346257952,0.46284286855407,9.73355595503796,"4"
"13081",6.96012663543224,0.405597272324376,0.209511062735692,3.32798920110799,0.0611095699490979,15,29,0.994839334417321,3.31015555870254,0.746582787632942,11.1202734756283,"4"
"13641",9.72273851123173,0.395186427608132,0.356124383946881,2.01412158298772,0.0829677128565963,11,62.7102415896952,0.997948683040943,3.27962731933221,0.498601724877954,9.67246141585056,"4"
"13701",7.04377564534079,0.596622789278626,0.179684824249707,1.52876206336077,0.069,4,8.8603965502698,0.994169110887484,3.3039503233321,0.406144602657296,10.308473259164,"4"
"14681",6.80446535949595,0.713852092907764,0.0580967946909368,1.93268706910312,0.0758493624678813,18.1213808001485,31.9127441914752,0.996661715548933,3.4535826045461,0.708522416520864,10.2382234078832,"4"
"14811",5.82261463380419,0.734356896406971,0.0289664688939229,1.77988078056369,0.0798140626554377,6,12.9848188250326,0.995817034287443,3.59404099959414,0.623220155551098,9.96604039022932,"4"
"14831",7.03947166604921,0.585612712388393,0.082051197476685,1.919262103457,0.0844062171750702,3,8.37107620784082,0.996997228144414,3.33431657679379,0.481755700688809,10.3,"4"
"14851",7.15733725819737,0.861030327141052,0.00440805771388113,2,0.0994595087245107,4,11,0.99604960449256,3.49419535937253,0.586484539778903,10.0461066059303,"4"
"15221",6.92335920685437,0.480979457721114,0.0856850721477531,1.83343582833186,0.0907220040643588,8.04336825525388,23,0.996024682211596,3.31510109889787,0.533662795270793,9.09565175225725,"4"
"2681",7.9,0.442821152624674,0.0728215523785912,3.22899681252893,0.078,15.4252306194976,37.15254456806,0.996381240045605,3.3447767320252,0.764542075973004,12.3984412360005,"8"
"2791",11.2653849964961,0.513296223967336,0.461343255108222,5.83213890958577,0.101227393067908,5.76956898067147,14.269627653528,0.99771687068902,3.18547707323916,0.828168349743355,12.5173175115138,"8"
"4411",12.432656389894,0.444069890750106,0.716052894508466,2.44618655513041,0.0725996272764169,5.67798444489017,27.2138718697242,0.998740884524677,3.01644908385817,0.718971177008934,9.54558399859816,"8"
"4561",11.2522680922179,0.558650405937806,0.714024665451143,5.19190034220228,0.0867554009389132,5.11755700688809,17.6608754172921,0.998808878826909,3.22,0.644294971998315,11.3616287828423,"8"
"4821",9.21387024186552,0.410758541924879,0.498180478634313,2.07097472934984,0.0728390718745068,6,16.0512295621447,0.995963832964003,3.15934368274175,0.918653245633468,12.4034764790908,"8"
"4961",11.1361002032179,0.436096857027151,0.571022323442157,2.25063557680696,0.0608456898652948,5,15.9169968140777,0.997303453912586,3.18868134270888,0.664475173852407,10.2593167360872,"8"
"4991",10.4422819586005,0.345579522773623,0.543399271969684,3.052538466244,0.102761636111885,5.42000288562849,16,0.997026685616886,3.16506679320708,0.678148993547074,11.2689640181139,"8"
"5891",6.70831671524793,0.25494124725461,0.241213444117457,2.00743021951057,0.056908950295765,19,49.862147329608,0.994542467218302,3.45712218202651,0.755652064816095,12.6196181841893,"8"
"8291",7.51729147473816,0.57802239755867,0.0908792598987929,2.23615204778034,0.0719903694689274,34,44.2276543297339,0.994497360388041,3.25348261239938,0.581472457011696,9.68296629372053,"8"
"10621",7.91230180971325,0.252789481310174,0.476009091478772,1.75012093388941,0.0592090593855828,7,15.5461110626347,0.994614678503266,3.22405832622666,0.70023494070163,12.2563905494288,"8"
"10911",10.0202774896286,0.289508662195876,0.657962699786294,6.53893326867838,0.0755924626982305,38.0821308735758,75.7242426071316,0.995075241649803,3.07979576484999,0.720477755707689,11.8033008468803,"8"
"11211",7.85107885976322,0.50898437215481,0.403756226631813,2.53824356226251,0.0870018862718716,8,17,0.993396345602453,3.27110776280519,0.732131538824178,12.148208563542,"8"
"12701",6.05536139311735,0.49,0.091254752590321,1.8097961186897,0.0470239696823992,27.8053757159505,85.8602112708613,0.995143679596712,3.48146563035436,0.621913512069732,9.91063156491145,"8"
"14501",7.2,0.514540273097809,0.260921288402751,2.02288776959758,0.062443757424131,15,29,0.993473337240412,3.25350428211503,0.63598900772864,11.3282716155052,"8"
"15501",7.05307109206915,0.734710575384088,0.174960285541601,1.91584249879234,0.0788038712248672,17,24,0.994227678836482,3.52323546050815,0.588231625978369,11.3034815623425,"8"
"4602",8.33003703155555,0.402360495838802,0.519702690839768,2.31473188200034,0.07502275834186,10.8873628547881,47,0.996039309753934,3.26472105186898,0.608385453633964,9.99758132221177,"3"
"6912",7.8578384490218,1.01933053786168,0,4.23082955514546,0.0968139101690613,5,14,0.996698345824699,3.58573700670619,0.533791436853353,9.60261793644167,"3"
"8332",11.5753607379273,0.465863639106974,0.422517780177295,1.55252408676315,0.145822525051888,34.033008468803,50.2894617109559,0.998339568456095,3.38,0.86,9.9,"3"
"13002",7.52497177426703,1.56956606743974,0.0147372620063834,2.31879311632365,0.121026807214832,5,9,0.995172554177744,3.49959167290479,0.430627376295161,10.9,"3"
"13752",6.82292483445827,0.686770412507847,0.00613095974316505,1.26421321810647,0.185272740672821,15.873408195084,28.9725310890648,0.994845135420759,3.33936723803288,0.540906290014928,9.8299936175882,"3"
"14702",8.65825192593038,0.598844753513113,0.0834674566332251,2.17834760705009,0.085802198454272,20,49,0.997223464453965,3.32703229888109,0.679207704940345,10.2212912445655,"3"
"14792",7.1,0.858210382000543,0.0437201939197257,4.64798257525545,0.0924317149086855,3.96518437657505,13.2916206421796,0.997316599230999,3.4032722015027,0.548496647812426,10.3845201484859,"3"
"15062",7.1098326664418,0.757885874988278,0.00582904178183526,1.85680058014113,0.0796112077063881,6,12,0.996652658761796,3.36595955346245,0.532489781300537,9.93667609039694,"3"
"46011",9.46819934850016,0.55749217893652,0.382773490977772,2.60019567257456,0.0887148749880095,11.4032572843414,47.2577554730233,0.999694878742689,3.2785603991032,0.736683567256565,9.28145119704184,"3"
"69111",7.40872794934652,1.07857064556748,0.115591904982852,4.19080752643166,0.0960952096539549,5,14.0108010728306,0.996644735510541,3.58935254393509,0.542162102178638,10.722744745875,"3"
"83311",10.3215588636946,0.678781789587382,0.237428425968087,1.42717022242835,0.135742886332986,34.0252479297897,48,0.996462746854919,3.32622790508867,0.843893435088564,9.84581634702863,"3"
"130011",7.69625261983244,0.710649532368431,0.207056415660125,1.69371627096838,0.076300076998938,4.30266912184751,9,0.994675326243617,3.31836449521262,0.538998149155299,9.86160333935471,"3"
"137511",6.94103362616313,0.471184970629818,0.0124148796678955,1.62300239902536,0.0920568763978453,15.4095000914004,28.7691236460526,0.994879901608079,3.34250979575617,0.682322401675729,10.301229720874,"3"
"147011",7.06265722111262,0.387150030147867,0.245177643159293,1.65779728835949,0.0700442241859071,20.9514773631149,49,0.996310549978471,3.37591728377941,0.661708461477096,9.68263556421257,"3"
"147911",7.4401001275526,0.499505699067232,0.092057497443425,2.91409888961707,0.0713507444554371,3.65880996874131,14.9262253555508,0.996971743665257,3.25268791258386,0.54745333695009,10.2973584620332,"3"
"150611",7.13568380419935,0.656181508125746,0.0268123929585261,1.8,0.078,6.99969531266556,12,0.995874327556784,3.42636853709359,0.438477191377573,9.65942256022598,"3"
"3910",6.79265882817563,1.1239793961239,0.0231126650911756,1.67867584922351,0.129433975251392,7,19.7025476435665,0.996127945672465,3.48722730662674,0.50703973736614,9.78911793790758,"4"
"428",8.80778512377292,0.590762117693666,0.300448905816302,2.8,0.0889826381891034,16.5823251712136,46,0.997626582267066,3.12756855751155,0.622495114433113,9.49656602204777,"4"
"807",8.23819442507811,0.600155601641163,0.236755287896376,1.8712922304403,0.0780764811174013,26.1406821333803,119.862958752085,0.996993796110246,3.16948585866019,0.878131518084556,9.13272546469234,"4"
"9511",5.55337662110105,0.687317251637578,0.0401465687248856,1.76823788164183,0.0498795554798562,40.0268269050866,85.6528672408313,0.99240882064078,3.38881718477933,0.481960457037203,10.512633405556,"4"
"1523",9.13758975481614,0.531536117857322,0.65029015555745,3.83058975427411,0.58241514851246,31.4539565797895,69,0.998957876749602,3.14226968199015,0.895897408598103,9.85740799126215,"4"
"1622",8.90146010983735,0.690308934883215,0.108413424515165,1.57137929825112,0.0735645371619612,9.86081567103975,20.7030804113019,0.996908401508811,3.22263557613827,0.847950258338824,9.55377325341105,"4"
"1682",7.87346612215042,0.619935820989776,0.145691616944969,1.61287097006571,0.0751844289265573,17,42,0.995746825712174,3.3551049446268,0.51224235787522,9.22946950150654,"4"
"1712",7.87052249084227,0.767633704876062,0.0937118282821029,1.55903162620962,0.0602123827617616,4,8.10695283277892,0.994617577040452,3.33779751699418,0.53089793086052,9.48874758670572,"4"
"2002",7.17870252658613,0.860009370067855,0.045706596635282,1.990230242908,0.0734145667499397,10.5463809068315,31,0.99488115665284,3.49881814713823,0.506488287141547,11.5594676221721,"4"
"2252",8.33408795753494,0.686203419341473,0.193327429299243,2.19719347928185,0.0907303167218342,13.9974304828793,54.5620986311696,0.99729331292944,3.33591547137126,0.566001471981872,10.2480754030636,"4"
"2672",8.18497299940791,0.730171092411038,0.0812842034967616,2.70478333812207,0.077182737729745,25.2310365154408,60.0673454464413,0.996995273698447,3.37379613812547,0.740497306748293,10.5906320438953,"4"
"4102",11.1991006316617,0.460894964244217,0.429336279965937,3.91814730176702,0.0862164827706292,26,49.1828930908814,0.998186645831959,3.09601459829137,0.555616617789492,10.495613013301,"4"
"5772",10.0932432691101,0.461707710102201,0.443830912788399,2.26068886341527,0.103786182123702,6,14,0.997948411620781,3.30399689439684,0.748484624919947,9.99896470429376,"4"
"6012",8.28302252187859,0.441156744884793,0.322862341003492,1.42318673371337,0.076138559657149,7.67422353941947,23,0.99711225754628,3.26,0.577448243575636,9.79427242623642,"4"
"6482",8.22837042319588,0.826858643187443,0.104408450443298,2.54341028630733,0.06213532641856,5,14.4091618307866,0.996721862789476,3.35517250468722,0.567186086135916,11.0259253973607,"4"
"6602",7.19562159435839,0.966588980695835,0.0259853020827713,4.39950903302073,0.0960403146923135,5,13.7396748974723,0.99695426550652,3.58134506381117,0.554444106844276,10.8452518612103,"4"
"7042",10.2743284298107,0.765868024700321,0.446831294784788,2.64375112606213,0.0752672576261684,21.0197143305559,84,0.99821843403657,3.17543571905233,0.627845058245584,9.77400438245386,"4"
"7252",7.5,0.786556977044092,0.231742181628942,2.43116105757654,0.0855490849129856,5.95323428092524,12,0.995033712947194,3.50508886418305,0.648420623587444,11.24060698885,"4"
"8142",6.9752563132206,0.439024442024529,0.218855122122914,2.03738451590762,0.077835087406449,3.70908271102235,7.35629324545152,0.995582054503625,3.43357683727983,0.485987196573988,11.3554570806446,"4"
"8312",7.78838539123535,0.622443824054208,0.0737106734584086,2.45684293997474,0.063400779296644,5,9.91318200016394,0.995088177824535,3.30629742340185,0.544807757134549,11.0133223296609,"4"
"8342",10.6637135726549,0.64631253179822,0.426597160931982,1.57096372334504,0.135819475747315,35.2616610713252,50.0869204506744,0.996042784675031,3.33372626736206,0.787843573309814,9.88072952030503,"4"
"8732",7.26559784910642,0.38040510315448,0.20621252566576,1.84560060319491,0.0762160043981858,27.4076033236925,49.7216035458259,0.995787468998628,3.43244729796425,0.559289239612408,10.0073054927401,"4"
"8772",7.01906009894443,0.453484370151764,0.0212522561664411,2.31986430476072,0.0694815261357967,6.90102840668171,14,0.995497528300615,3.43675059112689,0.663242140688756,10.9175752922797,"4"
"9282",8.34568700497855,0.681443174986856,0.180561525351218,2.19053078388916,0.0954476202334811,11.4027959660283,76.2765465284368,0.997353404299333,3.20002223546659,0.597972494132513,9.20107765410961,"4"
"9382",11.9915651131528,0.606365068567429,0.481350368458781,1.4,0.0715275328558583,6,26.384602801686,0.997791133803338,3.07,0.600358598725168,10.340160109604,"4"
"11252",6.48650354375131,0.562476497869939,0.0140251436270773,2.14876221881714,0.083157329650363,4.17378777870908,13,0.994622861569202,3.65141356322449,0.611999602010474,11.4052645588294,"4"
"11772",6.94146020635962,0.855663080487866,0.0240335595281795,5.4158634561114,0.0757455926816911,21.4555448079482,47,0.996069104735861,3.53455104872817,0.464856496290304,10.7325080694631,"4"
"11902",8.77770455349237,0.591799330424983,0.348498263931833,1.63110849210061,0.0909382279536221,5,18.6184017513879,0.996511158905309,3.27569874133915,0.447268840689212,9.55390783869661,"4"
"12342",10.1842241856873,0.250628258710198,0.371073000515986,2.2161162666613,0.131573787644739,13.4745003046127,36.3272636255481,0.996340247436522,3.22963035246759,0.49873912359769,9.30170597451536,"4"
"12362",6.92764479811488,0.353615693885825,0.214784647909263,12.8412938990498,0.0543804286468512,6.10605036235992,112.574122391385,0.995776659705019,3.19635801708405,0.584051347907817,11.1489770896537,"4"
"12402",6.69387103633489,0.63060164751485,0.0557616925891489,5.12749334615655,0.0596593500338495,11,19.3579871244729,0.99588297359447,3.41553724883124,0.579936919978354,11.4938466494903,"4"
"12622",7.36385180109646,0.456408312642016,0.0303764753043652,1.98427561605349,0.0794128312005196,17,24,0.994308325995985,3.34597889447818,0.598566021409351,11.3119419784285,"4"
"12642",8.9639230749337,0.78654619428562,0,2.52339243693277,0.0916532844675239,11.5412847371772,26,0.998414378485084,3.35985004705377,0.774799896320328,9.40818461319432,"4"
"12772",8.5,0.396072430459006,0.4,6.18403501116675,0.0500059127330566,3,9.42594914756027,0.996439899499345,3.37074282780532,0.635795861198961,11.9544170646174,"4"
"12942",7.05441397149116,0.756631787340157,0.00982198471203446,1.88891598817427,0.0787900379444472,6,12,0.996571689015068,3.41070571796037,0.585632611499168,9.75385582265444,"4"
"13082",6.92580327037451,0.56387123068445,0.157826795487438,3.33434985020721,0.0662572976503779,15,29,0.99494684656677,3.31779068149065,0.719932705913698,11.1102891785754,"4"
"13642",8,0.732090599357616,0.258968743861187,2.30710407570004,0.0809977085432038,10.5383284415584,62.2048701697495,0.996646999647766,3.29580926008988,0.484490697160363,9.93647903120145,"4"
"13702",6.7691402972443,0.3411325623421,0.0913846811046824,2.2006979738595,0.0684167218666989,4,8,0.994360604427089,3.39631150261033,0.609618486934342,10.4924923971295,"4"
"14682",6.7,0.544592873989604,0.209021883010864,1.78431578660384,0.0749015112295747,18.9044096032158,33.6639086077921,0.995316893559247,3.39998544616392,0.574006639136933,10.982217116002,"4"
"14812",5.84746616315097,0.877423219826305,0.0144911302509718,2.03170940428972,0.160441298516467,6,12.4365319008939,0.995134344507756,3.61013904441148,0.574687705794349,10.327074877359,"4"
"14832",7.08660693304797,0.58630917939902,0.323383946808592,1.79429147282944,0.112142145273741,3.83335316297598,8.91285966394794,0.994219700382267,3.31948875332436,0.459261349017426,10.3052259646814,"4"
"14852",7.16931237634271,0.849889522024896,0.0342655681120232,2,0.158661197030917,4,11,0.995922482225113,3.4080486709578,0.542052565375343,10.8299036862561,"4"
"15222",7.06688571975101,0.623477286696434,0.129286994417198,1.87854071322363,0.0980971637400799,8.42452107556164,23,0.995936236898205,3.31078197885537,0.542858810625039,9.43681799239712,"4"
"3911",7.39908553086906,0.515135434630129,0.183641190023703,2.03204521719646,0.115907054013338,7,19.8880658300215,0.995415108668437,3.44701198180382,0.617269129738506,10.2450472451646,"4"
"4241",7.92598874910962,0.465406337146895,0.246667140134675,1.91213548330558,0.0732298608111181,17.90334090667,46.9464391260571,0.995643026737591,3.29294265838543,0.618171514474766,9.77134488737211,"4"
"8011",8.2429637278209,0.469150145173953,0.377684686106762,2.02354351878989,0.0761303982001605,26.1040308756852,119.755071109439,0.997480903870215,3.21338094670285,0.625843406843617,9.16256210180921,"4"
"95101",5.73529725610945,0.845923375248236,0.0702259715065939,2.37665441335068,0.0621461452928325,43.3734798642997,86.8570293223668,0.997513461517064,3.6010742044769,0.524166131416051,10.0200387350874,"4"
"15211",10.2545550328652,0.519960749392142,0.656123843715094,3.33874664027244,0.108755656074575,33.9925178894773,68.7329537890422,0.998583878415927,3.21928527453668,1.35237553491751,9.90935219897968,"4"
"16211",8.00467831375692,0.458366355022027,0.268900438858556,1.82061771145448,0.0720823009589906,8.87036083654297,20.044810433872,0.995846105310106,3.37144272202773,0.66896274178566,11.377236200298,"4"
"16811",7.73844917283369,0.606221596147046,0.0437246478063296,1.86463149125815,0.0766506560886844,17.0561094111935,41.4493725379094,0.996693997328937,3.33498439980616,0.559059790714374,9.50188383510713,"4"
"17111",7.84208478328967,0.60659008018274,0.2020599127989,1.57277485935371,0.060111532087533,4,8.70474318497272,0.994988988428411,3.1694113661949,0.420688874829163,9.77397204643917,"4"
"20011",7.35689821309621,0.699281685472165,0.0340840559182125,1.81396393762255,0.0747599820485264,12.9418947984105,31,0.99536804691439,3.47144090225161,0.531623318517008,10.7649008052093,"4"
"22511",7.83552855708579,0.772318839392186,0.208982232437171,1.90330260063119,0.0906926220985295,14.0119206329956,54.7959128935051,0.997260891273292,3.33578853287339,0.523428964859441,10.2463842097729,"4"
"26711",8.03398324590744,0.866101875776462,0.00859868060523864,2.41201302609218,0.0928906451661537,26.0641179895783,60.7678608095139,0.998592717624366,3.59234055912141,0.622179334642376,9.8,"4"
"41011",8.51226299064346,0.528446367502651,0.358146153476311,3.09539452564854,0.0815403448088543,26.672307678964,51.8792301627308,0.997894047492122,3.25808726094805,0.598694601920825,10.3028617085349,"4"
"57711",10.5823929192575,0.43076960019073,0.319522825315442,1.92519363987059,0.116314307008659,6,14,0.998050259527452,3.31479278536825,0.727192789129418,9.88767321273561,"4"
"60111",7.93779045323888,0.827615604718359,0.183440031359795,2.04076388434931,0.0879801343565568,6.58935873018027,23,0.997647089520375,3.35001793204306,0.741996663130684,9.99390745536973,"4"
"64811",7.83016264885267,0.854941720531074,0.0190554447291348,2.30401695638377,0.069884897694783,5,14.0173509477965,0.996689233545997,3.39324777165738,0.576400070066535,10.9509099342628,"4"
"66011",7.12073380626276,0.828564828149088,0.020096107130642,4.56424175046722,0.094716053025087,4.86215716692971,12.6838648267423,0.996964865647563,3.41,0.504231575019672,10.9345296333601,"4"
"70411",8.21065178184112,0.461067545372438,0.463461485598093,2.67174884813006,0.0734764334451003,21.687528671137,84,0.998075463769703,3.30835999805883,0.661965220401728,9.62666351286374,"4"
"72511",7.5,0.519194743744,0.482547417234049,2.82069892966695,0.104023023339847,5.0779644966538,12,0.995880822292701,3.44078052564647,0.599902918836159,11.3598081378678,"4"
"81411",7.01042189117906,0.357548776064532,0.0183080054110364,1.74517553169287,0.0713254255819052,3.29321647831239,7.79465976803335,0.995717075727761,3.40168929780379,0.514121226340641,10.6035958068122,"4"
"83111",7.58653705239038,1.44028217876245,0.0245689064456271,2.18016448997168,0.111635739437412,5,9,0.995088713115554,3.46878816432646,0.417493275688342,10.9,"4"
"83411",10.9874559741413,0.483597485650052,0.378920084783731,1.52979137952625,0.122354392315862,35.240368273091,50.1775287425329,0.996741070432808,3.37928114318553,0.83505913539578,9.87926508317237,"4"
"87311",6.86261172741003,0.371025877728872,0.195485183074409,2.11219016417444,0.0638438404469869,26.9488048485376,48.091047866969,0.996550822634081,3.44806702487773,0.683576582853977,10.0914041781363,"4"
"87711",6.9682751990528,0.560111106574682,0.0202333651984333,2.56933287258447,0.0669390890850122,6.9026446387118,13.4917072812095,0.995658048488393,3.38612302693908,0.579946410253169,10.8116534227043,"4"
"92811",8.71170690084026,0.63080416230565,0.177080911905516,2.62324459792674,0.0959113403386506,11.8762422951007,74.6340861039023,0.997127083265023,3.15677638607233,0.542775029835038,9.30867092777728,"4"
"93811",11.9927677322995,0.575705622333962,0.455672089842898,1.4,0.0716016094274375,6,26.3721435895064,0.997721259474209,3.07,0.623094052673107,10.3161392512204,"4"
